# ----------------------------------------,,,,,,,,,
# main (3DMedia IPs blocked),,,,,,,,,
# Location,,,,,,,,,
# 20160101-20160131,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,3101,94.87%,2942,62.56%,1.84,00:00:44,0,"$3,101.00",0%
United States,1780,93.15%,1658,61.69%,2.16,00:00:49,0,"$1,780.00",0%
United Arab Emirates,346,93.35%,323,56.07%,1.96,00:00:52,0,"$1,346.00",0%
United Kingdom,205,91.22%,187,49.27%,3.57,00:02:02,0,"$1,205.00",0%
Germany,185,91.35%,169,57.3%,2.96,00:01:00,0,"$1,185.00",0%
(not set),177,96.61%,171,74.01%,1.47,00:00:26,0,"$1,177.00",0%
Kenya,149,92.62%,138,69.13%,1.68,00:00:46,0,"$1,149.00",0%
Canada,135,84.44%,114,42.96%,3.06,00:01:45,0,"$1,135.00",0%
Netherlands,130,93.08%,121,67.69%,2.35,00:00:43,0,"$1,130.00",0%
Pakistan,126,92.86%,117,41.27%,3.67,00:02:03,0,"$1,126.00",0%
Russia,121,76.03%,92,47.93%,2.41,00:02:02,0,"$1,121.00",0%
France,107,88.79%,95,44.86%,3.07,00:01:48,0,"$1,107.00",0%
Iran,107,87.85%,94,42.99%,3.25,00:02:44,0,"$1,107.00",0%
Spain,83,86.75%,72,57.83%,2.9,00:01:55,0,"$1,083.00",0%
Sri Lanka,82,87.8%,72,63.41%,2.67,00:01:07,0,"$1,082.00",0%
Italy,81,88.89%,72,56.79%,2.16,00:01:00,0,"$1,081.00",0%
Indonesia,75,97.33%,73,64%,3,00:01:11,0,"$1,075.00",0%
Australia,72,90.28%,65,47.22%,3.99,00:02:15,0,"$1,072.00",0%
Bangladesh,71,94.37%,67,59.15%,2.55,00:01:12,0,"$1,071.00",0%
Turkey,70,97.14%,68,57.14%,2.29,00:00:54,0,"$1,070.00",0%
Japan,65,87.69%,57,49.23%,3.98,00:02:01,0,"$1,065.00",0%
Poland,58,91.38%,53,50%,3.29,00:02:01,0,"$1,058.00",0%
Brazil,57,89.47%,51,61.4%,2,00:00:46,0,"$1,057.00",0%
Mexico,55,96.36%,53,63.64%,2.4,00:01:09,0,"$1,055.00",0%
Egypt,48,91.67%,44,54.17%,2.21,00:01:18,0,"$1,048.00",0%
,8634,92.31%,7970,59%,2.3,00:01:03,0,"$8,634.00",0%
