UPC1,Descrption,Price,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor ,GR,GC,VR,VC
1223,,19.99,Apparel,,,,,0,0,0,1
1813,Black/Red Fringe,45.99,Apparel,,,,,0,0,1,0
1813,Black/Red Fringe,45.99,Apparel,,,,,0,0,0,1
3752,Necklace,39,Accessory ,Jewelry,Necklace,,LA Product ,0,0,1,0
45000,Fuzzy Key Chain,18,Accessory ,Key Chain,,,,0,0,1,0
781001,,48,,,,,,0,0,1,0
793001,,36,,,,,,0,0,1,0
7810001,,48,,,,,,0,0,1,0
7811001,,48,,,,,,0,0,1,0
7811001,,48,,,,,,0,0,1,0
7827001,,45,,,,,,0,0,1,0
7827001,,45,,,,,,0,0,1,0
7827001,,45,,,,,,0,0,1,0
7831001,,36,,,,,,0,0,1,0
7833001,,31,,,,,,0,0,1,0
7835001,,45,,,,,,0,0,1,0
7838001,,45,,,,,,0,0,1,0
127890244,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
787270016,,45,,,,,,0,0,1,0
1039550399,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1039550403,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1039550430,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1039550440,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1039550459,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1039550459,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902074,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902102,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902108,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902109,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902272,Freaker Feet,18,Footwear ,Socks ,,,Freaker USA ,0,0,1,0
1278902275,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902395,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902396,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902414,Freaker Feet ,18,Giftware ,,,,Freaker USA ,0,0,1,0
1278902607,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902658,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902724,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902733,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1278902744,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
1396435525,Gift Tags ,1,Giftware ,,,,Papaya,0,0,1,0
1503837226,,218,Apparel,,,,,0,0,0,1
1503837226,,218,Apparel,,,,,0,0,0,1
5265100535,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
5265100546,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
5265100576,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
5265100583,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
5569600516,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
5569600580,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
5569600596,Freaker,12,Giftware ,,,,Freaker USA ,0,0,1,0
8834353529,,178,Apparel,,,,,0,0,0,1
8834353558,,178,Apparel,Bottom,,,,0,0,0,1
8834353558,,178,Apparel,,,,,0,0,0,1
9103711990,,22,,,,,,0,0,0,1
9103736080,,20,,,,,,0,0,0,1
9265701836,,10,Giftware ,,,,,0,0,1,0
9265702322,,12,,,,,,0,0,0,1
9265702446,,5,,,,,,0,0,0,1
9265702447,,5,,,,,,0,0,0,1
9265702447,,5,,,,,,0,0,0,1
9265702449,,5,,,,,,0,0,0,1
9265702450,,5,,,,,,0,0,0,1
9265702450,,5,,,,,,0,0,0,1
9265702455,,5,,,,,,0,0,0,1
9265702456,,5,,,,,,0,0,0,1
9265702460,,5,,,,,,0,0,0,1
9265702460,,5,,,,,,0,0,0,1
9265702469,,12,,,,,,0,0,0,1
9265702469,,10,Footwear,Socks,,,,0,0,0,1
9265702534,,5,,,,,,0,0,0,1
9265702534,,5,,,,,,0,0,0,1
9492281667,,8,,,,,Fred&Friends,0,0,0,1
9492281681,,6,,,,,Fred&Friends,0,0,0,1
40000000206,,69,,,,,,0,1,0,0
40000000380,,10,,,,,,1,0,0,0
40000000380,,10,,,,,,1,0,0,0
40000000380,,10,,,,,,1,0,0,0
40000000380,,10,,,,,,1,0,0,0
40000000380,,10,,,,,,1,0,0,0
40000000380,,10,,,,,,0,1,0,0
40000000381,,12,,,,,,1,0,0,0
40000000381,,12,,,,,,0,1,0,0
40000000942,,18,,,,,,0,1,0,0
40000000987,,14,,,,,,1,0,0,0
40000001002,,20,,,,,,0,1,0,0
40000001374,,59,,,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
40000001376,Slimsations Bottom,54,Apparel,Bottom,,,,1,0,0,0
