UPC1,Descrption,Price,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor ,GR,GC,VR,VC
40000001851,,69,,,,,,1,0,0,0
40000001851,,69,,,,,,1,0,0,0
40000001851,,69,,,,,,1,0,0,0
40000001851,,69,,,,,,0,1,0,0
40000001857,,42,,,,,,0,1,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,0,1,0,0
40000001938,,14,,,,,,1,0,0,0
40000001938,,14,,,,,,1,0,0,0
40000001938,,14,,,,,,1,0,0,0
40000001938,,14,,,,,,1,0,0,0
40000001938,,14,,,,,,0,1,0,0
40000001940,,34,,,,,,1,0,0,0
40000001975,,18,,,,,,0,1,0,0
