UPC1, Item, Descrption, Cost, Price, Category, SubCategory, SubCategory2, SubCategory3, Vendor, Gigis-Raleigh, Gigis-Cary, Violet-Rareigh, Violet-CaryTotal Inventory,
1223,   ,  ,0,19, Apparel ,  ,  ,  ,  ,0,0,0,1,1
1813,   , Black/Red Fringe ,0,45, Apparel ,  ,  ,  ,  ,0,0,1,1,2
3752,   , Necklace ,0,39, Accessory  , Jewelry , Necklace ,  , LA Product  ,0,0,1,0,1
45000,   , Fuzzy Key Chain ,0,18, Accessory  , Key Chain ,  ,  ,  ,0,0,1,0,1
117508,117508,,$1.75 ,,,,,,,,,,,
123210,123210,,$2.32 ,,,,,,,,,,,
126310,126310,,$2.63 ,,,,,,,,,,,
127510,127510,,$2.75 ,,,,,,,,,,,
137512,137512,Earrings,$3.75 ,,,,,,,,,,,
147516,147516,,$4.75 ,,,,,,,,,,,
257518,257518,Necklace,$5.75 ,,,,,,,,,,,
325012,325012,,$2.50 ,,,,,,,,,,,
375020,375020,,$7.50 ,,,,,,,,,,,
420322,      20-322,,$13.20 ,,,,,,,,,,,
450014,450014,,$5.00 ,,,,,,,,,,,
535016,535016,,$3.50 ,,,,,,,,,,,
542516,542516,,$4.25 ,,,,,,,,,,,
560020,560020,,$6.00 ,,,,,,,,,,,
562520,562520,,$6.25 ,,,,,,,,,,,
570018,570018,,$7.00 ,,,,,,,,,,,
577524,577524,,$7.75 ,,,,,,,,,,,
781001,   ,  ,0,48,  ,  ,  ,  ,  ,0,0,1,0,1
793001,   ,  ,0,36,  ,  ,  ,  ,  ,0,0,1,0,1
4108168,108168,,$1.68 ,,,,,,,,,,,
4112316,112316,,$3.16 ,,,,,,,,,,,
4112508,112508,,$1.25 ,,,,,,,,,,,
4116608,116608,,$1.66 ,,,,,,,,,,,
4116828,116828,,$16.80 ,,,,,,,,,,,
4117710,117710,,$1.77 ,,,,,,,,,,,
4118408,118408,,$1.84 ,,,,,,,,,,,
4118410,118410,,$1.84 ,,,,,,,,,,,
4119410,119410,,$1.94 ,,,,,,,,,,,
4120008,120008,,$2.00 ,,,,,,,,,,,
4120010,120010,,$2.00 ,,,,,,,,,,,
4120810,120810,,$2.08 ,,,,,,,,,,,
4121010,121010,,$2.10 ,,,,,,,,,,,
4121410,121410,,$2.14 ,,,,,,,,,,,
4121910,121910,,$2.19 ,,,,,,,,,,,
4122110,122110,,$2.21 ,,,,,,,,,,,
4122510,122510,,$2.25 ,,,,,,,,,,,
4122810,122810,,$2.28 ,,,,,,,,,,,
4123210,123210,,$2.32 ,,,,,,,,,,,
4123910,123910,,$2.39 ,,,,,,,,,,,
4124010,124010,,$2.40 ,,,,,,,,,,,
4124610,124610,,$2.46 ,,,,,,,,,,,
4124710,124710,,$2.47 ,,,,,,,,,,,
4125010,125010,,$2.50 ,,,,,,,,,,,
4125410,125410,,$2.54 ,,,,,,,,,,,
4126310,126310,,$2.63 ,,,,,,,,,,,
