UPC1, Item, Descrption, Cost, Price, Category, SubCategory, SubCategory2, SubCategory3, Vendor, GR, GC, VR, VC, Total Inventory
40000004269,   , Gigis Handbag ,$0.00 ,29, Accessory  , Handbag ,  ,  ,  ,4,1,0,0,5
40000004269,1152,Gigis Handbag,$11.00 ,,,,,,,,,,,
40000004270,   , Gigis Handbag ,0,59, Accessory , Handbags ,  ,  ,  ,0,1,0,0,1
40000004270,1601,Gigis Handbag,$24.99 ,,,,,,,,,,,
40000004271,   , Gigis Handbag ,0,45, Accessory  , Handbag ,  ,  ,  ,1,0,0,0,1
40000004271,3806,Gigis Handbag,$18.00 ,,,,,,,,,,,
40000004272,   , Gigis Handbag ,0,52, Accessory , Handbags ,  ,  ,  ,0,1,0,0,1
40000004272,1809,Gigis Handbag,$20.00 ,,,,,,,,,,,
40000004273,   , Gigis Handbag ,0,39, Accessory  , Handbag ,  ,  ,  ,1,1,0,0,2
40000004273,15233,Gigis Handbag,$15.00 ,,,,,,,,,,,
40000004274,   , Gigis Handbag ,0,52, Accessory , Handbags ,  ,  ,  ,0,1,0,0,1
40000004274,5652,Gigis Handbag,$20.00 ,,,,,,,,,,,
40000004275,   , Gigis Handbag ,0,45, Accessory , Handbags ,  ,  ,  ,0,1,0,0,1
40000004275,3922,Gigis Handbag,$18.00 ,,,,,,,,,,,
40000004276,   , Gigis Handbag ,0,39, Accessory , Handbags ,  ,  ,  ,0,1,0,0,1
40000004276,2426,Gigis Handbag,$16.00 ,,,,,,,,,,,
40000004277,   , Gigis Handbag ,0,42, Accessory  , Handbag ,  ,  ,  ,2,1,0,0,3
40000004277,136,Gigis Handbag,$17.00 ,,,,,,,,,,,
40000004278,   , Gigis Handbags ,0,39, Accessory  , Handbag ,  ,  ,  ,1,1,0,0,2
40000004278,3919,Gigis Handbags,$15.00 ,,,,,,,,,,,
40000004279,   , Gigis Handbags ,0,59, Accessory , Handbag ,  ,  ,  ,2,0,0,0,2
40000004279,3261,Gigis Handbags,$24.00 ,,,,,,,,,,,
40000004280,   , Gigis Handbag ,0,54, Accessory , Handbag ,  ,  ,  ,2,1,0,0,3
40000004280,81053,Gigis Handbag,$22.00 ,,,,,,,,,,,
40000004281,   , Gigis Handbag ,0,39, Accessory  , Handbag ,  ,  ,  ,1,0,0,0,1
40000004281,74048,Gigis Handbag,$14.00 ,,,,,,,,,,,
40000004282,   , Gigis Handbag ,0,59, Accessory , Handbags ,  ,  ,  ,0,1,0,0,1
40000004282,7488,Gigis Handbag,$23.00 ,,,,,,,,,,,
40000004283,   , Gigis Handbag ,0,59, Accessory  , Handbag ,  ,  ,  ,2,1,0,0,3
40000004283,4,Gigis Handbag,$23.00 ,,,,,,,,,,,
40000004284,   , Gigis Handbag ,0,59, Accessory , Handbags ,  ,  ,  ,0,1,0,0,1
40000004284,17204,Gigis Handbag,$22.00 ,,,,,,,,,,,
40000004285,   , Gigis Handbag ,0,39, Accessory  , Handbag ,  ,  ,  ,3,0,0,0,3
40000004285,3941,Gigis Handbag,$15.00 ,,,,,,,,,,,
40000004286,3888,Gigis Handbag,$18.00 ,,,,,,,,,,,
40000004287,   , Gigis Handbag ,0,24, Accessory  , Handbag ,  ,  ,  ,2,1,0,0,3
40000004287,3,Gigis Handbag,$9.00 ,,,,,,,,,,,
40000004288,7228,Gigis Handbag,$26.00 ,,,,,,,,,,,
40000004289,   , Gigis Handbag ,0,64, Accessory  , Handbag ,  ,  ,  ,1,1,0,0,2
40000004289,7408,Gigis Handbag,$25.00 ,,,,,,,,,,,
40000004290,   , Gigis Handbag ,0,39, Accessory , Handbag ,  ,  ,  ,1,1,0,0,2
40000004290,2461,Gigis Handbag,$14.00 ,,,,,,,,,,,
40000004291,   , Gigis Handbag ,0,29, Accessory  , Handbag ,  ,  ,  ,1,1,0,0,2
40000004291,3842,Gigis Handbag,$10.00 ,,,,,,,,,,,
40000004292,   , ANB Handbags ,0,59, Accessory  ,  ,  ,  ,  ,0,0,1,0,1
40000004292,      ABC018,ANB Handbags,$20.00 ,,,,,,,,,,,
40000004293,   , ANB Handbags ,0,79, Accessory  ,  ,  ,  ,  ,0,0,1,0,1
40000004293,      ABS096,ANB Handbags,$28.00 ,,,,,,,,,,,
40000004294,      ABS097,ANB Handbags,$30.00 ,,,,,,,,,,,
40000004295,   , ANB Handbags ,0,29, Accessory  , Handbag ,  ,  , America&Beyond ,0,0,0,3,3
40000004295,      ABG502,ANB Handbags,$10.00 ,,,,,,,,,,,
40000004296,   , ANB Handbags ,0,84, Accessory  , Handbag ,  ,  ,  ,0,0,0,3,3
40000004296,       ABBR2,ANB Handbags,$30.00 ,,,,,,,,,,,
40000004297,   , Free People ,0,58, Apparel ,  ,  ,  ,  ,0,0,2,2,4
40000004297,    OB529107,Free People,$26.00 ,,,,,,,,,,,
40000004299,   , Distressed Crop ,0,79, Apparel , Bottom ,  ,  ,  ,2,1,0,0,3
40000004299,      ASC447,Distressed Crop,$34.00 ,,,,,,,,,,,
40000004300,   , White Flare ,0,69, Apparel , Bottom ,  ,  ,  ,4,1,0,0,5
40000004300,      ASF421,White Flare,$29.00 ,,,,,,,,,,,
40000004301,   , Destroyed Flare ,0,79, Apparel , Bottom ,  ,  ,  ,2,1,0,0,3
40000004301,      ASF449,Destroyed Flare,$34.00 ,,,,,,,,,,,
40000004302,   , Blu Pepper ,0,39, Apparel , Top ,  ,  ,  ,3,1,0,0,4
40000004302,      BA5779,Blu Pepper,$15.00 ,,,,,,,,,,,
40000004303,   , Blu Pepper ,0,39, Apparel , Top ,  ,  ,  ,0,1,0,0,1
40000004303,      BA5845,Blu Pepper,$16.00 ,,,,,,,,,,,
40000004304,   , PPLA Top ,0,49, Apparel ,  ,  ,  ,  ,0,0,2,3,5
40000004304,     S81161T,PPLA Top,$22.00 ,,,,,,,,,,,
40000004305,   , PPLA Top ,0,62, Apparel , Top ,  ,  ,  ,0,0,1,4,5
40000004305,   S8MT58252,PPLA Top,$28.00 ,,,,,,,,,,,
40000004306,   , PPLA Top ,0,79, Apparel , Top ,  ,  , PPLA ,0,0,0,2,2
40000004306,    D1998SAG,PPLA Top,$36.00 ,,,,,,,,,,,
40000004307,   , PPLA Top ,0,72, Apparel ,  ,  ,  ,  ,0,0,0,2,2
40000004307,    JT521INT,PPLA Top,$32.00 ,,,,,,,,,,,
40000004308,    T2043SAG,PPLA Top,$34.00 ,,,,,,,,,,,
40000004309,    VT1039GP,PPLA Top,$24.00 ,,,,,,,,,,,
40000004310,   , PPLA Top ,0,57, Apparel  , Top ,  ,  , PPLA ,0,0,3,2,5
40000004310,    S8H19061,PPLA Top,$26.00 ,,,,,,,,,,,
40000004311,   , Groceries Dress ,0,79, Apparel , Dress ,  ,  , Groceries ,0,0,0,4,4
40000004311,      ANNOCA,Groceries Dress,$35.55 ,,,,,,,,,,,
40000004312,   , Groceries Dress ,0,69, Apparel , Dress ,  ,  , Groceries  ,0,0,1,2,3
40000004312,      SFDL65,Groceries Dress,$31.95 ,,,,,,,,,,,
40000004313,   , J Brand ,0,248, Apparel , Bottom , Pants , Denim , J Brand ,0,0,0,5,5
40000004313,      J48701,J Brand,-,,,,,,,,,,,
40000004314,   , Head Bands of Hope ,0,22, Accessory  , Handband  ,  ,  , Handbands of Hope  ,0,0,33,47,80
40000004314,1742,Head Bands of Hope,$12.00 ,,,,,,,,,,,
