Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,023",94.54%,"2,858",61.86%,1.86,0:00:44,0,3023.00 ,0.00%
United States,"1,862",91.73%,"1,708",57.73%,2.1,0:00:50,0,1862.00 ,0.00%
United Arab Emirates,432,93.75%,405,58.56%,1.71,0:00:31,0,1432.00 ,0.00%
United Kingdom,224,85.71%,192,42.41%,3.39,0:01:40,0,1224.00 ,0.00%
Sri Lanka,131,92.37%,121,58.02%,1.92,0:01:01,0,1131.00 ,0.00%
Germany,125,91.20%,114,50.40%,2.86,0:01:33,0,1125.00 ,0.00%
Pakistan,123,95.93%,118,41.46%,2.63,0:01:42,0,1123.00 ,0.00%
France,97,89.69%,87,53.61%,2.16,0:01:27,0,1097.00 ,0.00%
Netherlands,89,91.01%,81,53.93%,2.04,0:00:58,0,1089.00 ,0.00%
Canada,88,89.77%,79,40.91%,3.98,0:01:27,0,1088.00 ,0.00%
Spain,86,76.74%,66,52.33%,5.1,0:02:13,0,1086.00 ,0.00%
Sudan,86,95.35%,82,66.28%,1.45,0:00:30,0,1086.00 ,0.00%
Iran,74,91.89%,68,44.59%,3.95,0:02:40,0,1074.00 ,0.00%
Australia,68,83.82%,57,36.76%,2.49,0:01:04,0,1068.00 ,0.00%
Turkey,66,92.42%,61,48.48%,2.73,0:01:31,0,1066.00 ,0.00%
Bangladesh,65,100.00%,65,58.46%,2.6,0:01:02,0,1065.00 ,0.00%
Egypt,62,100.00%,62,54.84%,2.05,0:01:11,0,1062.00 ,0.00%
Mexico,62,90.32%,56,59.68%,3.18,0:01:37,0,1062.00 ,0.00%
Brazil,58,93.10%,54,81.03%,2.03,0:01:08,0,1058.00 ,0.00%
(not set),58,100.00%,58,67.24%,1.62,0:00:31,0,1058.00 ,0.00%
Italy,55,89.09%,49,45.45%,3.35,0:01:00,0,1055.00 ,0.00%
Russia,55,92.73%,51,58.18%,2.11,0:01:11,0,1055.00 ,0.00%
Algeria,54,94.44%,51,61.11%,2.35,0:00:53,0,1054.00 ,0.00%
Indonesia,54,90.74%,49,61.11%,1.8,0:00:58,0,1054.00 ,0.00%
Kenya,51,94.12%,48,76.47%,1.31,0:00:24,0,1051.00 ,0.00%
,"8,209",92.79%,"7,617",58.05%,2.15,0:00:56,0,9209.00 ,0.00%
