# ----------------------------------------
# main (3DMedia IPs blocked)
# Location
# 20160101-20160131
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,101",94.87%,"2,942",62.56%,1.84,00:00:44,0,$0.00,0.00%
United States,"1,780",93.15%,"1,658",61.69%,2.16,00:00:49,0,$0.00,0.00%
United Arab Emirates,346,93.35%,323,56.07%,1.96,00:00:52,0,$0.00,0.00%
United Kingdom,205,91.22%,187,49.27%,3.57,00:02:02,0,$0.00,0.00%
Germany,185,91.35%,169,57.30%,2.96,00:01:00,0,$0.00,0.00%
(not set),177,96.61%,171,74.01%,1.47,00:00:26,0,$0.00,0.00%
Kenya,149,92.62%,138,69.13%,1.68,00:00:46,0,$0.00,0.00%
Canada,135,84.44%,114,42.96%,3.06,00:01:45,0,$0.00,0.00%
Netherlands,130,93.08%,121,67.69%,2.35,00:00:43,0,$0.00,0.00%
Pakistan,126,92.86%,117,41.27%,3.67,00:02:03,0,$0.00,0.00%
Russia,121,76.03%,92,47.93%,2.41,00:02:02,0,$0.00,0.00%
France,107,88.79%,95,44.86%,3.07,00:01:48,0,$0.00,0.00%
Iran,107,87.85%,94,42.99%,3.25,00:02:44,0,$0.00,0.00%
Spain,83,86.75%,72,57.83%,2.90,00:01:55,0,$0.00,0.00%
Sri Lanka,82,87.80%,72,63.41%,2.67,00:01:07,0,$0.00,0.00%
Italy,81,88.89%,72,56.79%,2.16,00:01:00,0,$0.00,0.00%
Indonesia,75,97.33%,73,64.00%,3.00,00:01:11,0,$0.00,0.00%
Australia,72,90.28%,65,47.22%,3.99,00:02:15,0,$0.00,0.00%
Bangladesh,71,94.37%,67,59.15%,2.55,00:01:12,0,$0.00,0.00%
Turkey,70,97.14%,68,57.14%,2.29,00:00:54,0,$0.00,0.00%
Japan,65,87.69%,57,49.23%,3.98,00:02:01,0,$0.00,0.00%
Poland,58,91.38%,53,50.00%,3.29,00:02:01,0,$0.00,0.00%
Brazil,57,89.47%,51,61.40%,2.00,00:00:46,0,$0.00,0.00%
Mexico,55,96.36%,53,63.64%,2.40,00:01:09,0,$0.00,0.00%
Egypt,48,91.67%,44,54.17%,2.21,00:01:18,0,$0.00,0.00%
,"8,634",92.31%,"7,970",59.00%,2.30,00:01:03,0,$0.00,0.00%
# ----------------------------------------
# main (3DMedia IPs blocked)
# Location
# 20160201-20160229
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"2,857",94.82%,"2,709",64.65%,1.85,00:00:47,0,$0.00,0.00%
United States,"1,597",92.55%,"1,478",59.49%,2.13,00:00:58,0,$0.00,0.00%
United Arab Emirates,212,96.23%,204,56.13%,1.86,00:01:07,0,$0.00,0.00%
United Kingdom,197,90.36%,178,48.22%,2.66,00:01:05,0,$0.00,0.00%
Canada,131,81.68%,107,44.27%,2.86,00:01:34,0,$0.00,0.00%
Pakistan,122,91.80%,112,42.62%,2.76,00:01:51,0,$0.00,0.00%
Germany,117,92.31%,108,58.97%,3.53,00:01:41,0,$0.00,0.00%
France,110,86.36%,95,52.73%,2.60,00:01:44,0,$0.00,0.00%
Sri Lanka,107,90.65%,97,55.14%,2.18,00:00:47,0,$0.00,0.00%
Netherlands,103,91.26%,94,47.57%,3.00,00:01:13,0,$0.00,0.00%
Russia,92,85.87%,79,52.17%,1.83,00:01:03,0,$0.00,0.00%
Spain,90,62.22%,56,50.00%,3.83,00:02:51,0,$0.00,0.00%
Kenya,88,95.45%,84,71.59%,1.75,00:00:33,0,$0.00,0.00%
Turkey,68,86.76%,59,50.00%,4.50,00:02:23,0,$0.00,0.00%
Iran,67,91.04%,61,40.30%,2.91,00:01:27,0,$0.00,0.00%
Bangladesh,63,95.24%,60,50.79%,2.54,00:01:18,0,$0.00,0.00%
Egypt,57,85.96%,49,47.37%,5.28,00:05:04,0,$0.00,0.00%
(not set),57,92.98%,53,59.65%,2.39,00:00:47,0,$0.00,0.00%
Australia,56,89.29%,50,46.43%,2.59,00:01:37,0,$0.00,0.00%
Philippines,55,92.73%,51,67.27%,2.27,00:01:19,0,$0.00,0.00%
Poland,53,88.68%,47,49.06%,3.77,00:01:48,0,$0.00,0.00%
Sudan,52,96.15%,50,63.46%,1.83,00:02:26,0,$0.00,0.00%
Indonesia,49,93.88%,46,63.27%,1.98,00:01:00,0,$0.00,0.00%
Japan,48,68.75%,33,56.25%,3.00,00:01:06,0,$0.00,0.00%
Italy,47,82.98%,39,31.91%,6.49,00:03:16,0,$0.00,0.00%
,"7,520",92.02%,"6,920",58.36%,2.28,00:01:07,0,$0.00,0.00%
# ----------------------------------------
# main (3DMedia IPs blocked)
# Location
# 20160301-20160331
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,250",94.09%,"3,058",62.89%,1.84,00:00:49,0,$0.00,0.00%
United States,"2,029",91.92%,"1,865",59.19%,2.56,00:01:00,0,$0.00,0.00%
United Arab Emirates,351,96.58%,339,58.12%,1.71,00:00:33,0,$0.00,0.00%
United Kingdom,235,89.36%,210,52.34%,2.32,00:01:32,0,$0.00,0.00%
Germany,163,89.57%,146,49.08%,3.83,00:02:48,0,$0.00,0.00%
Canada,115,82.61%,95,37.39%,3.41,00:01:28,0,$0.00,0.00%
Sudan,112,95.54%,107,64.29%,1.70,00:00:46,0,$0.00,0.00%
Sri Lanka,107,95.33%,102,59.81%,2.38,00:00:52,0,$0.00,0.00%
France,103,91.26%,94,66.02%,1.81,00:01:03,0,$0.00,0.00%
Pakistan,100,97.00%,97,48.00%,2.19,00:00:42,0,$0.00,0.00%
Netherlands,97,87.63%,85,49.48%,3.00,00:00:59,0,$0.00,0.00%
Spain,90,84.44%,76,58.89%,2.49,00:01:57,0,$0.00,0.00%
Iran,89,91.01%,81,40.45%,2.94,00:01:34,0,$0.00,0.00%
Bangladesh,79,94.94%,75,46.84%,2.85,00:01:00,0,$0.00,0.00%
Russia,78,85.90%,67,51.28%,2.27,00:01:58,0,$0.00,0.00%
Indonesia,77,89.61%,69,61.04%,2.34,00:00:47,0,$0.00,0.00%
Italy,69,91.30%,63,40.58%,3.12,00:02:07,0,$0.00,0.00%
Turkey,69,94.20%,65,44.93%,2.93,00:01:46,0,$0.00,0.00%
Poland,68,86.76%,59,58.82%,2.90,00:01:17,0,$0.00,0.00%
Kenya,67,92.54%,62,58.21%,2.21,00:01:08,0,$0.00,0.00%
Egypt,65,95.38%,62,47.69%,2.45,00:00:57,0,$0.00,0.00%
Mexico,65,92.31%,60,47.69%,2.29,00:01:29,0,$0.00,0.00%
Brazil,58,94.83%,55,50.00%,2.34,00:01:43,0,$0.00,0.00%
(not set),50,96.00%,48,60.00%,1.56,00:00:22,0,$0.00,0.00%
Australia,47,95.74%,45,51.06%,1.87,00:01:29,0,$0.00,0.00%
,"8,813",92.50%,"8,152",58.16%,2.26,00:01:04,0,$0.00,0.00%
# ----------------------------------------
# main (3DMedia IPs blocked)
# Location
# 20160401-20160430
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,023",94.54%,"2,858",61.86%,1.86,00:00:44,0,$0.00,0.00%
United States,"1,862",91.73%,"1,708",57.73%,2.10,00:00:50,0,$0.00,0.00%
United Arab Emirates,432,93.75%,405,58.56%,1.71,00:00:31,0,$0.00,0.00%
United Kingdom,224,85.71%,192,42.41%,3.39,00:01:40,0,$0.00,0.00%
Sri Lanka,131,92.37%,121,58.02%,1.92,00:01:01,0,$0.00,0.00%
Germany,125,91.20%,114,50.40%,2.86,00:01:33,0,$0.00,0.00%
Pakistan,123,95.93%,118,41.46%,2.63,00:01:42,0,$0.00,0.00%
France,97,89.69%,87,53.61%,2.16,00:01:27,0,$0.00,0.00%
Netherlands,89,91.01%,81,53.93%,2.04,00:00:58,0,$0.00,0.00%
Canada,88,89.77%,79,40.91%,3.98,00:01:27,0,$0.00,0.00%
Spain,86,76.74%,66,52.33%,5.10,00:02:13,0,$0.00,0.00%
Sudan,86,95.35%,82,66.28%,1.45,00:00:30,0,$0.00,0.00%
Iran,74,91.89%,68,44.59%,3.95,00:02:40,0,$0.00,0.00%
Australia,68,83.82%,57,36.76%,2.49,00:01:04,0,$0.00,0.00%
Turkey,66,92.42%,61,48.48%,2.73,00:01:31,0,$0.00,0.00%
Bangladesh,65,100.00%,65,58.46%,2.60,00:01:02,0,$0.00,0.00%
Egypt,62,100.00%,62,54.84%,2.05,00:01:11,0,$0.00,0.00%
Mexico,62,90.32%,56,59.68%,3.18,00:01:37,0,$0.00,0.00%
Brazil,58,93.10%,54,81.03%,2.03,00:01:08,0,$0.00,0.00%
(not set),58,100.00%,58,67.24%,1.62,00:00:31,0,$0.00,0.00%
Italy,55,89.09%,49,45.45%,3.35,00:01:00,0,$0.00,0.00%
Russia,55,92.73%,51,58.18%,2.11,00:01:11,0,$0.00,0.00%
Algeria,54,94.44%,51,61.11%,2.35,00:00:53,0,$0.00,0.00%
Indonesia,54,90.74%,49,61.11%,1.80,00:00:58,0,$0.00,0.00%
Kenya,51,94.12%,48,76.47%,1.31,00:00:24,0,$0.00,0.00%
,"8,209",92.79%,"7,617",58.05%,2.15,00:00:56,0,$0.00,0.00%
# ----------------------------------------
# main (3DMedia IPs blocked)
# Location
# 20160501-20160531
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"2,903",94.42%,"2,741",61.28%,1.91,00:00:52,0,$0.00,0.00%
United States,"1,996",93.09%,"1,858",56.86%,2.15,00:00:53,0,$0.00,0.00%
United Arab Emirates,431,97.45%,420,54.29%,1.67,00:00:32,0,$0.00,0.00%
Philippines,376,95.21%,358,63.56%,1.63,00:00:40,0,$0.00,0.00%
United Kingdom,236,87.29%,206,53.39%,2.89,00:01:33,0,$0.00,0.00%
Germany,117,92.31%,108,54.70%,2.61,00:01:11,0,$0.00,0.00%
Pakistan,115,95.65%,110,43.48%,2.63,00:00:42,0,$0.00,0.00%
(not set),105,98.10%,103,65.71%,1.61,00:00:42,0,$0.00,0.00%
France,101,91.09%,92,48.51%,2.96,00:00:53,0,$0.00,0.00%
Sri Lanka,101,100.00%,101,50.50%,2.20,00:00:52,0,$0.00,0.00%
Netherlands,97,89.69%,87,56.70%,2.32,00:01:14,0,$0.00,0.00%
Indonesia,95,95.79%,91,58.95%,2.54,00:01:18,0,$0.00,0.00%
Canada,92,90.22%,83,50.00%,2.51,00:01:25,0,$0.00,0.00%
Brazil,83,87.95%,73,68.67%,2.51,00:01:08,0,$0.00,0.00%
Iran,79,88.61%,70,39.24%,5.52,00:02:22,0,$0.00,0.00%
Australia,74,85.14%,63,44.59%,3.93,00:04:47,0,$0.00,0.00%
Malaysia,74,100.00%,74,77.03%,1.51,00:00:18,0,$0.00,0.00%
Russia,70,87.14%,61,62.86%,3.66,00:01:49,0,$0.00,0.00%
Sudan,69,82.61%,57,55.07%,1.81,00:00:38,0,$0.00,0.00%
Bangladesh,66,98.48%,65,39.39%,2.50,00:01:11,0,$0.00,0.00%
Turkey,66,87.88%,58,42.42%,2.35,00:00:55,0,$0.00,0.00%
Spain,65,86.15%,56,61.54%,2.12,00:01:35,0,$0.00,0.00%
Italy,56,82.14%,46,42.86%,2.88,00:02:01,0,$0.00,0.00%
Algeria,55,92.73%,51,54.55%,3.18,00:01:09,0,$0.00,0.00%
Egypt,50,86.00%,43,50.00%,2.76,00:01:07,0,$0.00,0.00%
,"8,678",93.21%,"8,089",57.78%,2.16,00:01:01,0,$0.00,0.00%
# ----------------------------------------
# main (3DMedia IPs blocked)
# Location
# 20160601-20160630
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,338",94.73%,"3,162",63.12%,1.87,00:00:45,0,$0.00,0.00%
United States,"2,076",93.55%,"1,942",57.76%,2.10,00:00:50,0,$0.00,0.00%
United Arab Emirates,371,97.04%,360,57.68%,1.60,00:00:49,0,$0.00,0.00%
United Kingdom,237,88.61%,210,54.85%,2.32,00:01:00,0,$0.00,0.00%
Germany,144,93.06%,134,57.64%,1.92,00:01:44,0,$0.00,0.00%
Sri Lanka,123,95.93%,118,59.35%,1.94,00:01:00,0,$0.00,0.00%
(not set),104,94.23%,98,66.35%,1.41,00:00:21,0,$0.00,0.00%
France,91,91.21%,83,60.44%,2.41,00:00:57,0,$0.00,0.00%
Indonesia,91,96.70%,88,64.84%,1.88,00:00:49,0,$0.00,0.00%
Brazil,90,92.22%,83,77.78%,1.66,00:00:58,0,$0.00,0.00%
Iran,90,92.22%,83,41.11%,3.39,00:01:25,0,$0.00,0.00%
Pakistan,90,95.56%,86,54.44%,2.33,00:01:03,0,$0.00,0.00%
Netherlands,88,85.23%,75,62.50%,2.74,00:01:17,0,$0.00,0.00%
Canada,87,88.51%,77,47.13%,4.39,00:01:31,0,$0.00,0.00%
Australia,83,68.67%,57,40.96%,1.71,00:03:19,0,$0.00,0.00%
Italy,72,83.33%,60,44.44%,3.26,00:03:44,0,$0.00,0.00%
Sudan,70,95.71%,67,64.29%,1.54,00:00:25,0,$0.00,0.00%
Russia,68,83.82%,57,57.35%,3.38,00:01:20,0,$0.00,0.00%
Spain,66,81.82%,54,54.55%,2.94,00:02:56,0,$0.00,0.00%
