UPC1, Item, Descrption, Cost, Price, Category, SubCategory, SubCategory2, SubCategory3, Vendor, GR, GC, VR, VC, Total Inventory
1223,   ,  ,0,19, Apparel ,  ,  ,  ,  ,0,0,0,1,1
1223,137512,Earrings,$3.75 ,,,,,,,,,,,
1813,   , Black/Red Fringe ,0,45, Apparel ,  ,  ,  ,  ,0,0,1,1,2
1813,375020,,$7.50 ,,,,,,,,,,,
3752,   , Necklace ,0,39, Accessory  , Jewelry , Necklace ,  , LA Product  ,0,0,1,0,1
3752,257518,Necklace,$5.75 ,,,,,,,,,,,
45000,   , Fuzzy Key Chain ,0,18, Accessory  , Key Chain ,  ,  ,  ,0,0,1,0,1
45000,325012,,$2.50 ,,,,,,,,,,,
117508,117508,,$1.75 ,,,,,,,,,,,
147516,147516,,$4.75 ,,,,,,,,,,,
420322,      20-322,,$13.20 ,,,,,,,,,,,
450014,450014,,$5.00 ,,,,,,,,,,,
577524,577524,,$7.75 ,,,,,,,,,,,
781001,   ,  ,0,48,  ,  ,  ,  ,  ,0,0,1,0,1
781001,108168,Shoes,$1.68 ,,,,,,,,,,,
793001,   ,  ,0,36,  ,  ,  ,  ,  ,0,0,1,0,1
793001,116828,Blouse,$16.80 ,,,,,,,,,,,
4112316,112316,,$3.16 ,,,,,,,,,,,
4592528,592528,,$9.25 ,,,,,,,,,,,
4760010,11,,-,,,,,,,,,,,
7810001,   ,  ,0,48,  ,  ,  ,  ,  ,0,0,1,0,1
7810001,31104,Red hat,$23.17 ,,,,,,,,,,,
7838001,   ,  ,0,45,  ,  ,  ,  ,  ,0,0,1,0,1
41168028,116828,,$16.80 ,,,,,,,,,,,
41475160,147516,,$4.75 ,,,,,,,,,,,
127890244,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
127890244,122110,,$2.21 ,,,,,,,,,,,
400131312,131312,,$3.13 ,,,,,,,,,,,
400138814,138814,,$3.88 ,,,,,,,,,,,
400155016,155016,,$5.50 ,,,,,,,,,,,
787270016,   ,  ,0,45,  ,  ,  ,  ,  ,0,0,1,0,1
1039550399,   , Freaker1 ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1039550399,771500,,$18.75 ,,,,,,,,,,,
1278902108,   , Freaker2 ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1278902108,515301,,$15.50 ,,,,,,,,,,,
1278902109,   , Freaker3 ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1278902109,141604,,$15.00 ,,,,,,,,,,,
1278902272,   , Freaker Feet ,0,18, Footwear  , Socks  ,  ,  , Freaker USA  ,0,0,1,0,1
1278902272,141604,,$15.00 ,,,,,,,,,,,
1278902275,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1278902275,602300,,$19.75 ,,,,,,,,,,,
1278902395,   , Freaker4 ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1278902395,141604,,$15.00 ,,,,,,,,,,,
1278902396,   , Freaker5 ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1278902396,50101,,-,,,,,,,,,,,
1278902414,   , Freaker Feet  ,0,18, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1278902414,6346401,,$25.75 ,,,,,,,,,,,
1396435525,   , Gift Tags  ,0,1, Giftware  ,  ,  ,  , Papaya ,0,0,1,0,1
1396435525,141604,,$15.00 ,,,,,,,,,,,
1503837226,   ,  ,0,218, Apparel ,  ,  ,  ,  ,0,0,0,2,2
1503837226,141604,,$15.00 ,,,,,,,,,,,
8834353529,   ,  ,0,178, Apparel ,  ,  ,  ,  ,0,0,0,1,1
8834353529,515301,,$15.50 ,,,,,,,,,,,
8834353558,   ,  ,0,178, Apparel , Bottom ,  ,  ,  ,0,0,0,2,2
8834353558,602300,,$19.75 ,,,,,,,,,,,
9103711990,   ,  ,0,22,  ,  ,  ,  ,  ,0,0,0,1,1
9103711990,627029,,$16.75 ,,,,,,,,,,,
9103736080,   ,  ,0,20,  ,  ,  ,  ,  ,0,0,0,1,1
9103736080,260403,Gloves,$35.00 ,,,,,,,,,,,
9265701836,   ,  ,0,10, Giftware  ,  ,  ,  ,  ,0,0,1,0,1
9265701836,627029,,$16.75 ,,,,,,,,,,,
9265702322,   ,  ,0,12,  ,  ,  ,  ,  ,0,0,0,2,2
9265702322,50101,,-,,,,,,,,,,,
9265702469,   ,  ,0,69,  ,  ,  ,  ,  ,0,1,0,2,3
9265702469,260405,,$35.00 ,,,,,,,,,,,
9265702469,   ,  ,0,69,  ,  ,  ,  ,  ,0,1,0,0,1
9265702469,260601,,$35.00 ,,,,,,,,,,,
9265702534,   ,  ,0,5,  ,  ,  ,  ,  ,0,0,0,1,1
9265702534,11435116,,$14.70 ,,,,,,,,,,,
9492281667,   ,  ,0,8,  ,  ,  ,  , Fred&Friends ,0,0,0,1,1
9492281667,5102528,,-,,,,,,,,,,,
9492281681,   ,  ,0,6,  ,  ,  ,  , Fred&Friends ,0,0,0,1,1
9492281681,194801,,$35.00 ,,,,,,,,,,,
40000000380,   ,  ,0,10,  ,  ,  ,  ,  ,5,1,0,0,6
40000000380,630010,Hat,$3.00 ,,,,,,,,,,,
40000000381,   ,  ,0,12,  ,  ,  ,  ,  ,1,1,0,0,2
40000000381,635012,,$3.50 ,,,,,,,,,,,
40000000383,31111,,-,,,,,,,,,,,
40000000385,31116,,-,,,,,,,,,,,
