Item,Descrption,Cost,UPC1
1742,Head Bands of Hope,$12.00 ,40000004314
1750,,-,40000002511
1808,Colorful Bead Pendant,$15.00 ,40000004470
1809,Gigis Handbag,$20.00 ,40000004272
1813,Black/Red Fringe,$18.00 ,40000004469
1932,,-,40000003457
2001,,-,40000002865
2005,Dress/Skirt,-,40000005005
2064,,-,40000002993
2167,,-,40000002325
2200,,$4.75 ,40000000925
2212,,-,40000002513
2231,,-,40000002882
2352,,-,40000002862
2426,Gigis Handbag,$16.00 ,40000004276
2461,Gigis Handbag,$14.00 ,40000004290
2632,2 Wick Candle,$8.00 ,40007650001
2637,2 Wick Candle,$8.00 ,40007648001
2712,,-,40000003227
2952,,-,40000002216
3005,Outerwear,-,40000006005
3102,,-,40000002219
3135,,-,40000002996
        324L,Canvas,$95.00 ,40008065001
3261,Gigis Handbags,$24.00 ,40000004279
3264,,$13.75 ,40000000815
        329S,Canvas,$25.00 ,40008067001
3310,,$21.50 ,
3326,,-,40000003017
        333L,Canvas,$95.00 ,40008069001
        335L,Canvas,$95.00 ,40008068001
3376,,-,40000002986
3387,,$12.50 ,40000001463
3520,,$19.50 ,40000001221
3806,Gigis Handbag,$18.00 ,40000004271
3842,Gigis Handbag,$10.00 ,40000004291
3888,Gigis Handbag,$18.00 ,40000004286
3919,Gigis Handbags,$15.00 ,40000004278
3941,Gigis Handbag,$15.00 ,40000004285
4005,Pants/Shorts,-,40000007005
4007,,$12.75 ,40000000817
4217,,-,40000002508
4221,,-,40000002842
4281,,-,40000002507
4406,,-,40000002989
4414,,$18.10 ,40000001091
4486,,-,40000002260
4509,,-,40000002598

