UPC1, Item, Descrption, Price, Cost, Category, SubCategory, SubCategory2, SubCategory3, Vendor, Gigis-Raleigh, Gigis-Cary, Violet-Rareigh, Violet-CaryTotal Inventory
40000000206 ,   ,  , 69 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000000380 ,   ,  , 10 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000000381 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000000942 ,   ,  , 18 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001002 ,   ,  , 20 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001376 ,   ,  , 54 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001476 ,   ,  , 20 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001492 ,   ,  , 16 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001494 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001526 ,   ,  , 69 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001590 ,   ,  , 59 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001664 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001719 ,   ,  , 15 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001851 ,   ,  , 69 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001857 ,   ,  , 42 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001873 ,   , Scoop Neck Tee , 12 ,   , Apparel ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001938 ,   ,  , 14 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000001975 ,   ,  , 18 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
