UPC1,Descrption,Price,QOH,Tax,Category,SubCategory ,SubCategory2,SubCategory3 ,Vendor 
40000004544,Lilywood 25oz,45,1,Yes,Giftware,Bottle,,,Swell
40006475001,Terrarium Kit,16,2,Yes,Giftware,Bottle,,,Swell
40000004011,Cheap Eats Bird Feeder,28,3,Yes,Giftware,,,,Fred&Friends
40000004196,Multi Color Striped,78.99,1,Yes,Giftware,,,,
40000004295,ANB Handbags,29.99,1,Yes,Accessory ,Handbag,,,America&Beyond
40007390001,Your Day Will Go Pillow,150,1,Yes,Dicor,Pillow,,,
40007772001,Large Butterfly Garland,22,1,Yes,Dicor,Garland,,,
40007771001,Medium Butterfly Garland,17,3,Yes,Dicor,Garland,,,
40007770001,Small Butterfly Garland,12,1,Yes,Dicor,Garland,,,
40000004544,Lilywood 25oz,45,1,Yes,Accessory ,Bottle,,,Swell
40007770001,Small Butterfly Garland,12,1,Yes,Dicor,Garland,,,Swell
40007771001,Medium Butterfly Garland,17,4,Yes,Dicor,Garland,,,
40007772001,Large Butterfly Garland,22,1,Yes,Dicor,Garland,,,
40007913001,Vida Carmine,98,1,Yes,Accessory ,Wallet,,,Hobo
40007925001,Cydney Turqoise,178,1,Yes,Accessory ,Wallet,,,Hobo
40007915001,Sadie Pumice,108,1,Yes,Accessory ,Wallet,,,Hobo
40007919001,Rachel Pumic,128,1,Yes,Accessory ,Wallet,,,Hobo
40007918001,Rachel Carmine,128,1,Yes,Accessory ,Wallet,,,Hobo
40007917001,Sadie Turqoise,108,1,Yes,Accessory ,Wallet,,,Hobo
40007914001,Sadie Carmine,108,1,Yes,Accessory ,Wallet,,,Hobo
40007904001,Amora Black,88,1,Yes,Accessory ,Wallet,,,Hobo
40007913001,Vida Carmine,98,1,Yes,Accessory ,Wallet,,,Hobo
40000004194,Spring Bud Backpack,52.99,1,Yes,Accessory ,Handbags,,,Hobo
40007874001,Reversible Tote,95,1,Yes,Accessory ,Tote,,,Sydney Love
40007680001,Luxe Linen,27,1,Yes,Giftware,Candle,,,Aquiesse 
40007681001,Passion Fruit & Citrus,27,1,Yes,Giftware,Candle,,,Aquiesse 
40007677001,Sandalwood Vanilla,27,1,Yes,Giftware,Candle,,,Aquiesse 
40000004033,Glass Water Bottle,25,2,Yes,Giftware,Bottle,,,
40006476001,Mason Jar Light,12,4,Yes,Giftware,Bottle,,,
40007751001,Bashful Elephant,22,1,Yes,Giftware,Stuffed Animal,,,Jelly Cat
40006475001,Terrarium Kit,16,6,Yes,Giftware,,,,
40000004546,Navy Alligator 25oz,45,1,Yes,Giftware,Bottle,,,Swell
40006680001,Yellow Chunky Vase,16,1,Yes,Dicor,Vase,,,
40006377001,Blood Orange Amber,10,1,Yes,Bath&Body,,,,
40006371001,Lemon Verbena Soap,10,1,Yes,Bath&Body,Soap,,,junk
