UPC1, Item,Description, Cost, Price, Category, SubCategory, SubCategory2, SubCategory3, Vendor
1813,   , Black/Red Fringe ,0,45, Apparel ,  ,  ,  ,  
3752,   , Necklace ,0,39, Accessory  , Jewelry , Necklace ,  , LA Product  
45000,   , Fuzzy Key Chain ,0,18, Accessory  , Key Chain ,  ,  ,  
781001,   ,  ,0,48,  ,  ,  ,  ,  
793001,   ,  ,0,36,  ,  ,  ,  ,  
7810001,   ,  ,0,48,  ,  ,  ,  ,  
7838001,   ,  ,0,45,  ,  ,  ,  ,  
127890244,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  
787270016,   ,  ,0,45,  ,  ,  ,  ,  
1039550399,   , Freaker1 ,0,12, Giftware  ,  ,  ,  , Freaker USA  
1278902108,   , Freaker2 ,0,12, Giftware  ,  ,  ,  , Freaker USA  
1278902109,   , Freaker3 ,0,12, Giftware  ,  ,  ,  , Freaker USA  
1278902272,   , Freaker Feet ,0,18, Footwear  , Socks  ,  ,  , Freaker USA  
1278902275,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  
1278902395,   , Freaker4 ,0,12, Giftware  ,  ,  ,  , Freaker USA  
1278902396,   , Freaker5 ,0,12, Giftware  ,  ,  ,  , Freaker USA  
1278902414,   , Freaker Feet  ,0,18, Giftware  ,  ,  ,  , Freaker USA  
1396435525,   , Gift Tags  ,0,1, Giftware  ,  ,  ,  , Papaya 
9265701836,   ,  ,0,10, Giftware  ,  ,  ,  ,  
