UPC1,Descrption,Price,QOH,Tax,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor 
40000004544,Lilywood 25oz,45,1,Yes,Giftware ,Bottle,,,Swell
40000004542,Ocean Blue Shimmer 25oz,45,1,Yes,Giftware ,Bottle,,,Swell
40000003980,Cowboy Belt Sand,80,1,Yes,Accessory ,Belt,,Leather,Cowboy Belt Co
40000003990,Stilt Roll Up,235,5,Yes,Apparel ,Bottom,Pant,Denim,AG
40000003978,Cowboy Belt Sky Blue,56,1,Yes,Accessory ,Belt ,,Leather,Cowboy Belt Co
40000003988,Stilt Roll Up,178,5,Yes,Apparel ,Bottom,Pant,Denim,AG
40000004378,Bella Dahl Flowy Cami,129.99,2,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004402,Tart Flora Top,105.99,3,Yes,Apparel ,Top,Shirt,Sleeveless,Tart Collection 
40000004380,Bella Dahl Pullover White Tuni,142.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004165,PPLA Top,54.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,PPLA
40007744001,MellyMoo Little,16,1,Yes,Giftware ,Stuffed Animal ,,,Jelly Cat 
40000003977,Cowboy Belt Peach,46,1,Yes,Accessory ,Belt,,Leather,Cowboy Belt Co
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000003976,Cowboy Belt Camel,46,1,Yes,Apparel ,Belt,,Leather,Cowboy Belt Co
40008045001,Low Rise Cropped,198,1,Yes,Apparel ,Bottom,Crop,Denim,J Brand 
40000004015,Sadey Slim,258,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000004015,Sadey Slim,258,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000004015,Sadey Slim,258,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000004015,Sadey Slim,258,1,Yes,Apparel ,Bottom,Pant,Denim,AG
1396435525,Gift Tags ,1,4,Yes,Giftware ,,,,Papaya
3752,Necklace,39,1,Yes,Accessory ,Jewelry,Necklace,,LA Product 
40000004225,Large Pocket Pullover,129.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004225,Large Pocket Pullover,129.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004225,Large Pocket Pullover,129.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004375,Bella Dahl Split Back Halter,84.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004375,Bella Dahl Split Back Halter,84.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004375,Bella Dahl Split Back Halter,84.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004165,PPLA Top,54.99,1,Yes,Apparel ,Top,,,PPLA
40000004165,PPLA Top,54.99,1,Yes,Apparel ,Top,,,PPLA
40000004541,Yellow Gold 17oz,42,1,Yes,Giftware ,Bottle,,,Swell
40000004546,Navy Alligator 25oz,45,1,Yes,Giftware ,Bottle,,,Swell
40000004542,Ocean Blue Shimmer 25oz,45,1,Yes,Giftware ,Bottle,,,Swell
40000003975,Cowboy Belt Mint,68,1,Yes,Accessory ,Belt,,Leather,Cowboy Belt Co
40000003700,Slit ,168,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000003700,Slit ,168,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000003699,Prima,178,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000003699,Prima,178,1,Yes,Apparel ,Bottom,Pant,Denim,AG
80380156396,Legging ,220,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000003979,Cowboy Belt Mud,89,1,Yes,Accessory ,Belt,,Leather,Cowboy Belt Co
40000004012,Mid Rise Capri,268,1,Yes,Apparel ,Bottom,Capri,Denim,
40000004012,Mid Rise Capri,268,1,Yes,Apparel ,Bottom,Capri,Denim,
40000004012,Mid Rise Capri,268,1,Yes,Apparel ,Bottom,Capri,Denim,
40000004220,Button Down,95.99,1,Yes,Apparel ,Top,,,
40000004220,Button Down,95.99,1,Yes,Apparel ,Top,,,
40000004376,Bella Dahl Hankerchief Popover,79.99,1,Yes,Apparel ,Top,,,Bella Dahl
40000004376,Bella Dahl Hankerchief Popover,79.99,1,Yes,Apparel ,Top,,,Bella Dahl
40000004221,V-Neck Popover,124.99,1,Yes,Apparel ,Top,,,
40000004310,PPLA Top,57.99,1,Yes,Apparel ,Top,,,PPLA
40000004310,PPLA Top,57.99,1,Yes,Apparel ,Top,,,PPLA
40007874001,Reversible Tote,95,1,Yes,Accessory ,Tote,,,Sydeny Love
68541310440,Reversible Tote,95,1,Yes,Accessory ,Tote,,,Sydeny Love
40000004062,Local Celebrity Tee,38,1,Yes,Apparel ,Top,Tshirt,Shorts Seeve ,Local Celebrity 
40000004400,Tart Jill Dress,162.99,1,Yes,Apparel ,Dress,,,Tart Collection 
40000004400,Tart Jill Dress,162.99,1,Yes,Apparel ,Dress,,,Tart Collection 
40000004483,Mumu Bluebird Cloud Tunic,140.99,1,Yes,Apparel ,Top,Tunic,,Mumu 
40007782001,Peacock ,25,1,Yes,Giftware ,Umbrella ,,,Vineralla
40007780001,Chevron,25,1,Yes,Giftware ,Umbrella ,,,Vineralla
40007777001,Green Wine,25,1,Yes,Giftware ,Umbrella ,,,Vineralla
40007776001,Black Wine,25,1,Yes,Giftware ,Umbrella ,,,Vineralla
40007776001,Black Wine,25,1,Yes,Giftware ,Umbrella ,,,Vineralla
40007532001,Head Massager,4,8,Yes,Giftware ,,,,Fred&Friends
40000004034,Rewined Candle,28,22,Yes,Giftware ,Candle,,, Rewined Candle 
40007589001,Pickled Bottlestopper,10,1,Yes,Giftware ,,,,Fred&Friends
40007587001,Plunge Bottlestopper,9,2,Yes,Giftware ,,,,Fred&Friends
40007590001,Moby Dick Party Picks,13,3,Yes,Giftware ,,,,Fred&Friends
40007602001,Murder Ink Pad and Pen,13,2,Yes,Giftware ,,,,Fred&Friends
40007595001,Cake Candelabra,9,5,Yes,Giftware ,,,,Fred&Friends
40007534001,XL Wine Glass,12,5,Yes,Giftware ,Wine Glass ,,,Fred&Friends
40007603001,Unzipped Glass Bag,23,4,Yes,Giftware ,,,,Fred&Friends
40006583001,Produce Candel ,28,6,Yes,Bath/Body ,Candle,,,Produce
40007593001,Sauced Measurer,18,3,Yes,Giftware ,Wine Glass ,,,Fred&Friends
40007678001,Cherimoya,27,5,Yes,Giftware ,,,,
40007344001,Sauvignon Blanc Candle,28,1,Yes,Giftware ,Candle,,,Rewined Candle 
40007624001,Hamsa Necklace,14,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007604001,Shine Bright Necklace,14,2,Yes,Accessory ,Necklace,,,Luckey Feather
40006881001,Thread Necklace,10,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007614001,Guardian Angel Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007609001,Birthday Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007605001,Friendship Necklace,17,8,Yes,Accessory ,Necklace,,,Luckey Feather
40007608001,Owl Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40006881001,Thread Necklace,10,5,Yes,Accessory ,Necklace,,,Luckey Feather
40007606001,State Necklace,14,5,Yes,Accessory ,Necklace,,,Luckey Feather
40007620001,Birdie Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007610001,Congrats Necklace,12,2,Yes,Accessory ,Necklace,,,Luckey Feather
40007614001,Guardian Angel Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007604001,Shine Bright Necklace,14,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007607001,Fleur De Lys Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007619001,Clover Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007624001,Hamsa Necklace,14,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007604001,Shine Bright Necklace,14,4,Yes,Accessory ,Necklace,,,Luckey Feather
40007618001,Lotus Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007621001,Queen Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007623001,Hot Air Balloon Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007608001,Owl Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007617001,Music Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007623001,Hot Air Balloon Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
87862300652,Lucky Feather Jewelry ,10,4,Yes,Accessory ,Necklace,,,Luckey Feather
40007620001,Birdie Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007616001,Peace Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
87862300252,Lucky Feather Jewelry ,10,1,Yes,Accessory ,Necklace,,,Luckey Feather
40006881001,Thread Necklace,10,4,Yes,Accessory ,Necklace,,,Luckey Feather
40007622001,Sparkle Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007604001,Shine Bright Necklace,14,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007607001,Fleur De Lys Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
87862300666,Lucky Feather Jewelry ,10,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007622001,Sparkle Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
87862300653,Lucky Feather Jewelry ,10,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007617001,Music Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007612001,Wishbone Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40006881001,Thread Necklace,10,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007611001,Bee Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007618001,Lotus Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40007609001,Birthday Necklace,12,1,Yes,Accessory ,Necklace,,,Luckey Feather
40006881001,Thread Necklace,10,2,Yes,Accessory ,Necklace,,,Luckey Feather
87862300652,Lucky Feather Jewelry ,10,1,Yes,Accessory ,Necklace,,,Luckey Feather
