Item,Descrption,Cost,UPC1
11,,-,40000000022
11,,-,4760010
91,,-,40000000040
          BB,S&P Bubble Bath,$16.00 ,
          DO,Dork Socks,$5.50 ,40007693001
          HA,Happy Socks,$5.50 ,40007699001
          HH,Headbands of Hope,$8.00 ,40000003814
          NI,Ninja Socls,$5.50 ,40007698001
          PK,Pickles Socks,$5.50 ,40007696001
          VO,Vodka Socks,$5.50 ,40007689001
          WF,Waffles Socks,$5.50 ,40007685001
          WH,Whiskey Socks,$5.50 ,40007690001
3,Gigis Handbag,$9.00 ,40000004287
4,Gigis Handbag,$23.00 ,40000004283
6,,$15.75 ,40000002833
66,,$30.65 ,40000002259
103,,$25.65 ,40000002262
114,White Top,$26.75 ,
175,,$26.75 ,40000001389
179,,$28.75 ,40000001387
311,,$26.00 ,40000003050
314,,$39.00 ,40000003051
432,,$28.75 ,40000001391
532,,$24.75 ,40000002503
602,,$13.50 ,40000003745
640,,$22.00 ,40000002211
667,Sleeveless Shift Mini,$21.00 ,40000003827
763,,$14.00 ,40000001747
830,,$14.50 ,40000002565
895,,$30.65 ,40000002261
906,,$25.75 ,40000002769
996,,$22.75 ,40000002331
         A33,,$30.75 ,40000002567
         A77,,$36.00 ,40000002045
         BC1,,$11.00 ,40000002832
         BLS,Doorknob Hanger,$1.75 ,40007665001
         BMP,Borrow My Pen,$3.50 ,40007601001
         BRT,Brat Socks,$5.50 ,40007687001
         CAP,,$6.50 ,40000001492
         CAV,Coq Au Vin Wine Stopper,$5.00 ,40007594001
         CND,Candy Socks,$5.50 ,40007694001
         COF,Coffee Socks,$5.50 ,40007691001
         DNT,Donuts Socks,$5.50 ,40007692001
         GEE,Geek Socks,$5.50 ,40007686001
         GGJ,Necklace 18,-,40000004185
         GJ1,Necklace,-,40000003648
         GWB,Glass Water Bottle,$8.00 ,40000004033
         HH1,Headbands of Hope,$13.00 ,40000003815
         HST,,$8.80 ,40000001476
         M50,,$22.25 ,40000001424
         MHC,Hand Cream,$4.50 ,40000003629
         N56,An Old Soul,$29.00 ,40000004067
         N59,An Old Soul,$22.00 ,40000004068
         Oil,,$8.00 ,40000003631
         WPL,Plunge Bottlestopper,$4.00 ,40007587001
6,,$21.75 ,40000002846
21,,$15.75 ,40000002499
31,,$31.00 ,40000002987
75,,$15.75 ,40000002500
100,,$4.50 ,40000000913
136,Gigis Handbag,$17.00 ,40000004277
203,,$24.75 ,40000002847
237,,$14.75 ,40000000821
300,,$4.50 ,40000000914
500,,$4.75 ,40000000916
700,,$4.50 ,40000000917
900,,$4.50 ,40000000918
912,Multi Layer,$17.00 ,40000004471
1005,Tops/Tees,-,40000004005
1008,,$23.75 ,40000002768
1018,Fidelity Axl Crop,$85.00 ,40000004387
        101S,Classic Believe,$17.50 ,40008015001
        108B,,$17.75 ,40000002864
1100,,$39.99 ,40000002796
1106,,$35.75 ,40000002884
1122,,$12.25 ,40000002835
1152,Gigis Handbag,$11.00 ,40000004269
1174,,$15.25 ,40000003229
1216,,$22.75 ,40000002509
1225,Double Chain,$9.00 ,40000004472
1233,Y Necklace,$4.50 ,40000004473
1244,,$39.50 ,40000001790
        126A,Artistic Purple/White,$10.00 ,40007781001
