Item,Descrption,Cost,UPC1
117508,,$1.75 ,117508
123210,,$2.32 ,123210
126310,,$2.63 ,126310
127510,,$2.75 ,127510
137512,Earrings,$3.75 ,137512
147516,,$4.75 ,147516
257518,Necklace,$5.75 ,257518
325012,,$2.50 ,325012
375020,,$7.50 ,375020
      20-322,,$13.20 ,420322
450014,,$5.00 ,450014
535016,,$3.50 ,535016
542516,,$4.25 ,542516
560020,,$6.00 ,560020
562520,,$6.25 ,562520
570018,,$7.00 ,570018
577524,,$7.75 ,577524
108168,,$1.68 ,4108168
112316,,$3.16 ,4112316
112508,,$1.25 ,4112508
116608,,$1.66 ,4116608
116828,,$16.80 ,4116828
117710,,$1.77 ,4117710
118408,,$1.84 ,4118408
118410,,$1.84 ,4118410
119410,,$1.94 ,4119410
120008,,$2.00 ,4120008
120010,,$2.00 ,4120010
120810,,$2.08 ,4120810
121010,,$2.10 ,4121010
121410,,$2.14 ,4121410
121910,,$2.19 ,4121910
122110,,$2.21 ,4122110
122510,,$2.25 ,4122510
122810,,$2.28 ,4122810
123210,,$2.32 ,4123210
123910,,$2.39 ,4123910
124010,,$2.40 ,4124010
124610,,$2.46 ,4124610
124710,,$2.47 ,4124710
125010,,$2.50 ,4125010
125410,,$2.54 ,4125410
126310,,$2.63 ,4126310
127510,,$2.75 ,4127510
128110,,$2.81 ,4128110
130010,,$3.00 ,4130010
131112,,$3.11 ,4131112
131312,,$3.13 ,4131312
131510,,$3.15 ,4131510
132112,,$3.21 ,4132112
132212,,$3.22 ,4132212
132510,,$3.25 ,4132510
132512,,$3.25 ,4132512
132712,,$3.27 ,4132712
132812,,$3.28 ,4132812
133512,,$3.35 ,4133512
134412,,$3.44 ,4134412
134510,,$3.45 ,4134510
134512,,$3.45 ,4134512
134912,,$3.49 ,4134912
135612,,$3.56 ,4135612
135812,,$3.58 ,4135812
136412,,$3.64 ,4136412
137514,,$3.75 ,4137514
138412,,$3.84 ,4138412
138814,,$3.88 ,4138814
