# ----------------------------------------,,,,,,,,,
# main (Google Analytics Data),,,,,,,,,
# Location,,,,,,,,,
# 20160205-20160306,,,,,,,,,
# ----------------------------------------,,,,,,,,,
Country,Sessions,PercentNewSessions,NewUsers,BounceRate,PagesPerSession,AvgSessionDuration,Transactions,Revenue,EcommerceConversionRate
India,"3,081",94.42%,"2,909",64.56%,1.86,0:00:46,0,$0.00 ,0.00%
United States,"1,720",92.44%,"1,590",58.66%,2.21,0:01:01,0,$0.00 ,0.00%
United Arab Emirates,267,96.25%,257,57.68%,1.87,0:00:58,0,$0.00 ,0.00%
United Kingdom,222,89.19%,198,47.75%,2.61,0:01:00,0,$0.00 ,0.00%
Canada,135,80.74%,109,42.96%,3.12,0:01:44,0,$0.00 ,0.00%
Germany,127,93.70%,119,60.63%,2.75,0:01:09,0,$0.00 ,0.00%
Pakistan,121,91.74%,111,40.50%,2.69,0:01:35,0,$0.00 ,0.00%
Sri Lanka,116,89.66%,104,56.90%,1.86,0:00:36,0,$0.00 ,0.00%
France,112,88.39%,99,56.25%,2.26,0:01:16,0,$0.00 ,0.00%
Netherlands,109,92.66%,101,47.71%,2.83,0:01:07,0,$0.00 ,0.00%
Russia,99,84.85%,84,52.53%,2.12,0:01:22,0,$0.00 ,0.00%
Spain,89,65.17%,58,49.44%,4.1,0:02:58,0,$0.00 ,0.00%
Sudan,76,97.37%,74,65.79%,1.92,0:02:03,0,$0.00 ,0.00%
Bangladesh,75,93.33%,70,52.00%,2.71,0:01:06,0,$0.00 ,0.00%
Kenya,75,92.00%,69,68.00%,1.99,0:00:37,0,$0.00 ,0.00%
Turkey,73,86.30%,63,45.21%,4.3,0:02:14,0,$0.00 ,0.00%
Iran,71,92.96%,66,45.07%,2.92,0:01:28,0,$0.00 ,0.00%
Egypt,66,87.88%,58,46.97%,4.92,0:04:20,0,$0.00 ,0.00%
Poland,60,86.67%,52,46.67%,3.73,0:01:57,0,$0.00 ,0.00%
Australia,58,91.38%,53,48.28%,2.43,0:01:28,0,$0.00 ,0.00%
Philippines,58,93.10%,54,63.79%,2.29,0:01:23,0,$0.00 ,0.00%
Indonesia,54,94.44%,51,66.67%,2.02,0:01:04,0,$0.00 ,0.00%
Italy,52,84.62%,44,38.46%,5.81,0:03:10,0,$0.00 ,0.00%
Mexico,41,97.56%,40,63.41%,1.73,0:00:40,0,$0.00 ,0.00%
TOTAL,"8,117",92.09%,"7,475",58.22%,2.28,0:01:06,0,$0.00 ,0.00%
